"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","WEB","1","Inicio","0","0","Reservar Hoteles","0"
"0","BO","1","Generar File","0","0","Generar File desde Inbox","0"
"0","WEB","1","Inicio","0","0","Reservar Servicios","0"
"0","BO","1","Reservas / Cotizaciones","0","0","Validar Inbox de Reservas","0"
"0","BO","1","Crear Orden de Pago / Cobro","0","0","Crear Orden de Cobro","0"
"0","WEB","1","Inicio","0","0","Login Agencia (prueba negativa de permisos)","0"
"0","BO","1","Login BackOffice","0","0","Login usuario Administrador","0"
"0","WEB","1","Inicio","0","0","Buscar Ofertas","0"
"0","WEB","1","Inicio","0","0","Login Administrador","0"
"0","BO","1","Crear Orden de Pago / Cobro","0","0","Crear Orden de Pago","0"
"0","BO","1","Reservas / Cotizaciones","0","0","Validar Inbox de Cotizaciones","0"
"0","BO","1","Login BackOffice","0","0","Login usuario No-Administrador","0"
